;localidade;tipo;loc_x;loc_y;mercado_mais_proximo;farmacia_mais_proxima;escola_mais_proxima;num_penit_4km;num_penit_500m;idade_imovel;area;preco
42;localidade 2;tipo 1;0.8991542645894828;0.6729899240994107;1040.3899392956582;1690.3615716929685;2885.3841326506763;1;0;4;92.0;198700
43;localidade 3;tipo 1;0.5265764353769369;0.2700261027155712;825.3380552825796;3471.4758467360657;1488.2203543227035;0;0;29;83.0;861000
44;localidade 3;tipo 1;0.0591239926921359;0.3251860182004999;3817.47095940932;2842.135135658212;1462.006872274802;0;0;49;161.0;509200
45;localidade 2;tipo 1;0.7085385457454455;0.639920225732319;2807.010681569299;2232.804981076587;1949.0959153198776;1;0;5;72.0;190600
46;localidade 2;tipo 1;0.3365406329159214;0.1677210204442436;2778.0146965718377;;4748.683131447401;0;0;4;134.0;218000
47;localidade 2;tipo 1;0.8463658194596061;0.8112570182704036;2385.336793214697;3112.6952511558507;3592.784643448117;1;0;15;118.0;159300
48;localidade 3;tipo 2;0.4834202539266745;0.6327280328148747;1482.91624802505;2417.4661781175405;1779.561816474884;0;0;20;93.0;808400
49;localidade 1;tipo 1;0.2127143246606553;0.8260551246858144;4484.663393746469;;1327.0897196420226;0;0;6;87.0;876900
50;localidade 1;tipo 2;0.4229514743782703;0.1335497243169042;2763.987708616857;5168.283516745284;348.97002678523813;1;0;4;100.0;512000
51;localidade 1;tipo 1;0.7125400291252695;0.360679745150553;3898.705438545671;3156.007265352886;1555.1253400747821;0;0;16;102.0;724100
52;localidade 4;tipo 2;0.9381132945530192;0.6146137933967072;6150.026385788241;3731.212703953197;2627.442958550348;0;0;7;124.0;338200
53;localidade 4;tipo 2;0.9235684598117646;0.5396447064801722;5462.3975605393325;3677.148004184408;2044.2366163228571;0;0;11;86.0;317100
54;localidade 2;tipo 1;0.5980733514783938;0.3420654471649786;915.8906058011293;2695.754989559234;1611.7735622215866;0;0;2;;230000
55;localidade 2;tipo 2;0.1989334211950755;0.0655803957103939;2290.9695981686677;7111.178230763631;6462.285632492194;0;0;3;117.0;365500
56;localidade 3;tipo 2;0.6321630069432588;0.6049992907391994;1306.050044708083;3204.618373645922;1925.1894009909865;0;0;30;187.0;657600
57;localidade 2;tipo 1;0.5034405980030989;0.3386299941449925;632.4179933874402;3635.051150154944;2430.1777275120144;0;0;0;118.0;240800
58;localidade 3;tipo 2;0.5170160266307874;0.1374263580251448;1103.1627326586834;4437.595498288139;844.4598052711633;0;0;11;71.0;998400
59;localidade 1;tipo 2;0.1017439549741652;0.9903523433472998;6386.4622600686425;2639.1347124894182;741.3618734568787;0;0;16;73.0;448500
60;localidade 1;tipo 2;0.5875868776722031;0.3104139759176787;2759.020610071563;;655.7824546989848;0;0;3;77.0;572400
61;localidade 2;tipo 2;0.9594173854009704;0.5480719393370278;773.1318689818843;771.7885589154422;2589.018360080844;1;0;5;130.0;342300
62;localidade 2;tipo 2;0.4594244801381353;0.776890580169259;3846.9559701790745;632.0527419164172;1146.1720156562058;1;0;3;74.0;349400
63;localidade 4;tipo 1;0.0633579297533875;0.8565694679185266;4911.014422179666;3272.6899492524876;330.84106037095324;0;0;4;87.0;761400
64;localidade 3;tipo 2;0.8108965848395187;0.9105651588113206;729.7877076312062;2867.9296797706224;2694.879769995238;0;0;24;;765500
65;localidade 3;tipo 1;0.6083183861983638;0.8756370159953755;1794.048055528343;936.6564854877887;955.9592074525036;0;0;7;157.0;1352300
66;localidade 4;tipo 2;0.6511672431656792;0.3445867035230512;2422.34151008417;2898.823609348656;1501.7820018861146;0;0;15;152.0;294900
67;localidade 1;tipo 2;0.2108834874386902;0.2523191720464954;1793.548411987607;4377.802346031745;1869.3582237617843;1;0;15;173.0;397600
68;localidade 2;tipo 1;0.3375018079175668;0.2059780638569328;2686.4852835132338;5390.108141972392;4527.397593030767;0;0;1;95.0;225200
69;localidade 2;tipo 1;0.1423080589851968;0.2820510349071106;730.1743107809033;6094.650727920308;5412.308377172242;0;0;9;156.0;205500
70;localidade 2;tipo 1;0.6462214678512093;0.9899072028029908;5041.958462426765;2620.2147686578737;3409.0315848765867;1;0;10;161.0;175000
71;localidade 1;tipo 1;0.6681945825919703;0.1093219052859272;4452.144716797681;5177.4260768752865;1515.1536660204151;0;0;11;185.0;798500
72;localidade 3;tipo 2;0.0245848836296557;0.6107552971085297;;1357.5079743748531;4301.322232017123;0;0;12;93.0;941500
73;localidade 2;tipo 1;0.0055485245013533;0.7330220045991014;4805.139995431823;5155.203066859746;5112.285243343755;1;0;3;77.0;197100
74;localidade 3;tipo 2;0.8186546149172051;0.951682244368936;571.1269958101904;2965.452447629884;2969.994907073362;0;0;20;192.0;840800
76;localidade 4;tipo 2;0.8542122809797731;0.6229551204545853;5781.6803928525205;2891.6312138710146;2006.5716665928005;0;0;2;114.0;370900
77;localidade 4;tipo 2;0.7910507172445216;0.6093902066539992;5389.192890239851;2263.152661715721;1501.5199603666665;0;0;1;142.0;381800
78;localidade 3;tipo 1;0.5834122218231307;0.4175435914742084;630.9113701657908;3215.116571386932;1848.8180816471295;0;0;50;110.0;511500
79;localidade 3;tipo 1;0.5779391334053806;0.3561569610855168;1243.4587969847294;3392.6492935531983;1701.661273311654;0;0;14;128.0;1144100
80;localidade 1;tipo 2;0.4526820756331147;0.4242376843647183;1328.5928458899855;2326.941565264813;1980.2650542511763;1;0;13;123.0;417700
83;localidade 1;tipo 2;0.2158582689487593;0.7102564395083466;3364.8333780458947;1874.3477240416971;2299.397160628099;1;0;5;59.0;476800
84;localidade 3;tipo 1;0.9506069189737884;0.2764333975641408;3638.050898701708;1258.4048965283782;3237.7638421360984;0;0;25;105.0;916400
85;localidade 1;tipo 2;0.814043362772357;0.3297298855149501;4197.197945586503;2550.3486421035896;1120.552683747367;0;0;4;151.0;549500
86;localidade 1;tipo 1;0.9916577566479616;0.1192514168572439;6081.442488840363;3986.832531788205;3130.1025751730213;0;0;22;114.0;642700
87;localidade 2;tipo 1;0.9962435185486472;0.0740585006436812;1959.0892239774626;2554.882851277452;4618.443176668858;0;0;5;163.0;211800
88;localidade 1;tipo 2;0.5905309165035382;0.0813898778591436;4090.446176172204;5891.416827474543;1667.7836672691433;0;0;14;58.0;451100
90;localidade 1;tipo 2;0.127813160080577;0.1440547578554438;3157.880806229797;5717.064537294644;1076.9373447512992;1;0;5;194.0;487000
91;localidade 3;tipo 1;0.9153784980773412;0.6020057904348253;3398.4893017119566;386.3775321205506;286.8438697523228;0;0;31;134.0;887200
92;localidade 3;tipo 1;0.6368480536914745;0.30800441013861796;1000.2450911493056;3746.894076458533;2348.0098740471053;0;0;32;154.0;794600
93;localidade 1;tipo 2;0.5795824014566796;0.5853953114907544;3208.3631736019856;1956.5494370904999;571.5362580920113;0;0;7;117.0;534200
94;localidade 3;tipo 1;0.3711744021656941;0.9379976826836246;3931.656910462622;1544.6120968368307;2501.97654562508;0;0;50;194.0;493400
96;localidade 2;tipo 2;0.5143453957384789;0.9099682258205091;5121.8108337032845;1499.93441925108;2340.992314918452;1;0;4;159.0;325100
97;localidade 1;tipo 2;0.8604557765502628;0.1659899479375381;5675.583942749619;3736.961715215323;2498.734720968306;0;0;2;92.0;555600
98;localidade 1;tipo 1;0.3103259007550429;0.4591513823283009;689.1153107187034;2083.3632721868853;3138.2744337508802;1;0;11;;741700
99;localidade 4;tipo 1;0.6533118676669716;0.7088882684545386;6010.219391697258;1242.848406773552;2338.742361912853;1;0;10;122.0;589300
100;localidade 3;tipo 1;0.4347685068654944;0.7857142574040932;2704.2265034679085;1586.5081165184731;1363.523857316379;0;0;25;98.0;918500
102;localidade 4;tipo 2;0.1127154363312574;0.4060294994323326;474.65497103028855;1399.866634436018;1253.5217001337305;0;0;18;123.0;297600
103;localidade 4;tipo 2;0.6765152090637947;0.8708356402592411;7275.933343228899;2732.221487046207;3901.0059260172575;1;0;21;184.0;233900
104;localidade 2;tipo 1;0.3741924010889498;0.6486964518202213;2928.856033408101;;1420.0425154913253;1;0;0;69.0;210900
105;localidade 2;tipo 2;0.6188249352035695;0.9914603301132634;5242.818445556791;2514.4704216999344;3326.787890335955;1;0;7;151.0;306900
107;localidade 1;tipo 2;0.3981871785934913;0.8144494565164627;4293.364329973429;1648.7608088073525;2997.6530044329197;0;0;10;168.0;487200
108;localidade 3;tipo 2;0.2235089311837714;0.0989651669290325;3869.3014878250538;4139.168197916246;1413.2531943606186;0;0;31;197.0;637500
109;localidade 1;tipo 2;0.5360402187124874;0.6729488220492752;3523.74863451479;1431.9022395940522;1543.6666129330326;0;0;13;190.0;465300
110;localidade 3;tipo 1;0.2591922040454602;0.5364477026350956;1297.035712363228;313.26277270410117;2309.2158725657805;0;0;17;110.0;1138100
111;localidade 2;tipo 1;0.6317741773801443;0.8001980357473745;3997.993699103813;1184.1417395200558;1715.489653383876;2;0;5;133.0;171600
113;localidade 2;tipo 2;0.785275930931618;0.7196572641033718;2264.846519569524;2424.6986867637165;2752.091858938817;1;0;11;112.0;284400
114;localidade 3;tipo 1;0.9982984163947414;0.7476197831974108;3207.183220782637;1425.6188685871552;;0;0;40;97.0;648400
115;localidade 2;tipo 2;0.1050657823661876;0.9550141992126192;6979.349700211435;4587.597765595;4947.716745654458;1;0;5;157.0;316000
116;localidade 1;tipo 2;0.0775476436421953;0.4007108178435015;2465.1786558461067;;3573.2303245814464;1;0;19;;366600
117;localidade 3;tipo 1;0.1562123334017393;0.6033810531347249;2463.154630942563;1430.218945385845;3502.5531111540477;0;0;48;82.0;524300
118;localidade 3;tipo 2;0.5297470226730286;0.5025494602011447;729.0526266047377;2544.7783446128838;1878.1053919530946;0;0;37;209.0;574400
119;localidade 3;tipo 1;0.1130379360714405;0.4739373807646503;2784.707659515049;1662.0516698712688;2835.5686762102428;0;0;35;151.0;725900
120;localidade 4;tipo 1;0.8570161237280588;0.4286980036043539;4183.100885833205;3498.1384204481606;;0;0;5;154.0;730900
121;localidade 4;tipo 2;0.4825896774212628;0.8191404297364167;5590.3786638113925;2142.621486393401;3737.088757415455;1;0;8;119.0;301400
122;localidade 2;tipo 2;0.6296666417758596;0.9921091016005509;5171.612339572476;2564.7396727116625;3368.751482505167;1;0;4;126.0;321500
123;localidade 2;tipo 2;0.3853151466431921;0.3065137242607557;1673.2733689274967;4732.575257324358;3639.684793121012;0;0;2;138.0;372900
124;localidade 3;tipo 2;0.0935878737932588;0.9413554427594932;5143.779471464301;1918.7909543930207;5016.69579429354;0;0;30;168.0;648600
125;localidade 2;tipo 1;0.0631700336934406;0.5713155609714361;3141.380481106382;4946.29279669818;4623.786341130328;1;0;7;204.0;182800
126;localidade 2;tipo 1;0.9832940692299352;0.8209413155226087;2013.065613514592;3287.4151533246422;4576.132327869912;1;0;14;125.0;164000
127;localidade 3;tipo 1;0.6677497085715831;0.4415310300148291;784.808422755235;3322.168323658407;2725.1408099449523;0;0;47;59.0;553200
129;localidade 2;tipo 1;0.3688468963025035;0.6384884901915795;2870.7502413874304;1942.772933166545;1494.753361762475;1;0;6;59.0;186400
130;localidade 3;tipo 1;0.2669603173897156;0.8009693608740738;3063.8673504129283;651.2208129092696;3044.4236392471757;0;0;18;108.0;1086400
131;localidade 4;tipo 2;0.8442650732054665;0.6759983825483563;6213.122628002691;2845.030384591916;2350.6105750297243;1;0;10;75.0;290400
132;localidade 1;tipo 2;0.633006114941582;0.3221850918823;3168.0526914811985;4037.881922071531;794.8162477365262;0;0;25;114.0;373100
133;localidade 4;tipo 2;0.8852123871453941;0.0330134301723047;3115.1190397637642;5706.6933815093835;3429.647473871093;0;0;10;80.0;322000
134;localidade 3;tipo 2;0.1492658526741901;0.0939236359487146;4594.401780357132;4344.0248703871;1021.2868772586464;0;0;21;87.0;803200
136;localidade 1;tipo 2;0.7865205283772282;0.7652732846214628;1701.1823475461445;1401.8724149903949;2843.091822657337;0;0;18;63.0;422400
137;localidade 2;tipo 1;0.059432634604585005;0.1669030270525988;915.4965169557734;7512.181940202133;6821.2213275891945;0;0;5;91.0;217200
138;localidade 3;tipo 1;0.0376305042563218;0.10159438452654902;5451.292119712489;4722.331949314012;1182.6522596385096;0;0;28;116.0;861000
139;localidade 4;tipo 2;0.8832014737600892;0.525500272428535;5105.685412875642;3322.825227689892;1725.8479812233109;0;0;9;160.0;328900
140;localidade 1;tipo 2;0.7556262342855423;0.9355237183497684;2871.331608931893;1206.8647340548605;4206.632818597901;0;0;3;74.0;556700
142;localidade 2;tipo 1;0.1355660749627253;0.1927010922736464;895.5400226949503;6855.659021931066;6134.665886173332;0;0;6;157.0;213800
143;localidade 3;tipo 2;0.28588380091800497;0.9502047389612794;4426.8272723431855;1849.2156797640969;3283.2850218180115;0;0;41;109.0;500900
144;localidade 1;tipo 2;0.5615800567149347;0.9141363714503974;4334.013373408635;1298.1459563970525;3782.1183118825234;0;0;16;75.0;438600
145;localidade 1;tipo 2;0.1156058969281286;0.4285295004689782;2115.4109452168404;3193.981342058308;3729.6554661042205;1;0;2;97.0;501600
146;localidade 2;tipo 2;0.6819504824342633;0.5212848408917876;1992.626159674489;2148.194684374841;856.2394163192228;0;0;14;105.0;310400
147;localidade 1;tipo 2;0.5576858541655251;0.8840711087749619;4248.419734699268;1209.7356251838928;;0;0;2;226.0;565800
148;localidade 3;tipo 2;0.6928229953615861;0.5101502627836011;992.5328246131044;2791.8930495608993;2668.138462906209;0;0;29;165.0;678900
149;localidade 2;tipo 1;0.6709010850542881;0.6571531021866422;2972.4730063278835;1823.7458284712966;1584.3812575762586;0;0;15;161.0;179000
150;localidade 2;tipo 1;0.4390863450202344;0.8193328302433578;4301.885804147352;1005.6875227642092;1616.4678207153186;1;0;2;117.0;205000
151;localidade 1;tipo 1;0.42239698245141;0.2468794865881006;1750.5211035977813;4036.7623532361213;1180.9218793564678;1;0;2;200.0;852100
152;localidade 4;tipo 1;0.3543598291771387;0.26583159799982603;2337.860267697279;1708.9320469676925;1840.458027581102;0;0;6;85.0;697700
154;localidade 1;tipo 2;0.019327461856808;0.9981711174782008;6787.517213281422;2620.893341802221;1263.5043015115093;0;0;9;114.0;499200
155;localidade 2;tipo 1;0.9219776814021491;0.0350529663902836;1468.0681633828406;2757.402839043249;4566.559795517851;0;0;2;105.0;224200
156;localidade 4;tipo 1;0.2058383292541528;0.7579517705346335;3899.868909990855;2780.020220035302;1805.2135663255453;0;0;10;162.0;646900
157;localidade 4;tipo 2;0.9022303121995121;0.8270083135756201;;3949.303906467589;3941.580040867171;1;0;20;89.0;241300
158;localidade 2;tipo 1;0.3391746859408784;0.9414037900438956;5745.400640055371;2563.2002000072853;3176.832091475869;1;0;9;130.0;178400
159;localidade 4;tipo 1;0.1821103654537019;0.6483995426705268;2781.7871421271184;1797.4413840922552;2314.3864778567663;0;0;14;140.0;601200
160;localidade 2;tipo 1;0.5863064448631765;0.3706181537630953;666.7006388823629;2857.330989150775;1547.1753053747384;0;0;4;152.0;227000
161;localidade 1;tipo 1;0.7375292023836393;0.9399755336413702;3029.313388296897;1127.199245772758;4191.5780409973795;0;0;13;208.0;775000
162;localidade 2;tipo 2;0.417295718518658;0.6511652469835992;2753.951232240357;1499.5826011822342;993.9588712499988;1;0;10;102.0;299600
163;localidade 3;tipo 2;0.4122469386041862;0.5364135981807109;298.0406521577173;1394.7710743372809;1767.6298924259438;0;0;18;85.0;892200
165;localidade 4;tipo 2;0.3643719481435244;0.7694355137396084;4528.476881451738;2493.8444720915554;3291.696680714465;1;0;14;124.0;269100
166;localidade 4;tipo 1;0.6901758211022957;0.8761513426111551;7412.082003884242;2838.3536704047497;3944.3445370268214;1;0;29;129.0;398900
167;localidade 1;tipo 1;0.9963364100651156;0.3526747433132822;3760.4564569797462;1655.3349736786952;1251.751615188853;0;0;8;183.0;852100
168;localidade 4;tipo 1;0.0629668795319349;0.1398515229251584;1533.3209537571108;801.8165510840796;1045.5497074990587;0;0;11;78.0;674800
169;localidade 3;tipo 1;0.4453282494531535;0.9234014144734359;3208.4924753657374;791.2048810128191;1851.1601195779026;0;0;37;129.0;714600
170;localidade 4;tipo 2;0.7681005386487322;0.8552811015887875;;3097.3608859250844;3773.324832667666;1;0;18;141.0;250000
172;localidade 1;tipo 2;0.3039301849025725;0.6519816261025363;2611.566885213116;908.6579713002625;3250.5397374998024;1;0;32;101.0;288300
173;localidade 2;tipo 2;0.9185241116558168;0.455163555052141;1788.0469438038067;537.3385051206445;1970.4387428025009;0;0;1;132.0;399300
174;localidade 3;tipo 1;0.3564005250567111;0.7724833210036913;2550.1349723129338;1528.8804483514925;2152.377120749673;0;0;36;98.0;710200
175;localidade 2;tipo 1;0.961503488921832;0.7689071672258619;1516.293448818595;2728.858664469034;;1;0;4;195.0;195600
176;localidade 3;tipo 1;0.3204605415393623;0.8766000170638588;3634.8010354265375;1485.4915993642032;2659.862982877949;0;0;32;89.0;779900
177;localidade 2;tipo 1;0.9541129497975304;0.5863342634392579;479.2311375806414;1007.505427398212;2717.5941878151616;1;0;12;;181100
178;localidade 2;tipo 1;0.2630269929317798;0.0300008535880258;2959.260387469981;6656.539249629016;6188.719213029801;0;0;12;188.0;185800
179;localidade 3;tipo 1;0.0642742138925488;0.569440266701098;3273.435719412637;1624.7709431186795;3825.250971492661;0;0;32;107.0;777600
180;localidade 2;tipo 2;0.935978247222528;0.6520365404338497;616.858433109665;1533.3850144723526;2976.2728579538207;1;0;5;100.0;334600
181;localidade 1;tipo 2;0.6062300549306201;0.8724462435164302;3755.259650219506;712.7476472258297;3329.987983064367;0;0;10;155.0;503600
182;localidade 1;tipo 2;0.9798373942546016;0.7662256047228979;487.9263868930854;1848.9448071095346;3637.5418386957012;0;0;3;94.0;578500
183;localidade 1;tipo 2;0.9116718089893604;0.4028286093593182;3257.912861077197;1370.9245141931565;268.5431182801654;0;0;8;83.0;538000
185;localidade 3;tipo 2;0.5948720195661699;0.3409771861874253;1221.1467905474126;3612.8070693218256;1879.972582700396;0;0;39;180.0;533800
186;localidade 1;tipo 2;0.1441087628368785;0.6968497159482009;3542.7053536184285;1205.092283832985;2225.917629856129;1;0;8;176.0;457400
187;localidade 4;tipo 1;0.9472207155106616;0.9074475974554741;8746.099958234667;4773.727895699897;4863.237004997049;1;0;24;216.0;443000
189;localidade 4;tipo 2;0.6463282727679996;0.5236038099148943;4164.2358574714835;1271.4704630864196;768.6101869283034;0;0;8;94.0;351800
190;localidade 2;tipo 1;0.1415670625185505;0.0395327478529564;;7739.6967895773;7080.615608329078;0;0;3;121.0;221200
191;localidade 3;tipo 2;0.0818821457773465;0.5703312197117426;3100.992866482577;1597.8863447608444;3814.4361081607344;0;0;29;191.0;665600
192;localidade 2;tipo 1;0.4692801865277564;0.7040810884979151;3112.876829991968;758.0554213454267;525.1335672250378;1;0;11;90.0;186600
194;localidade 4;tipo 2;0.8502335047477798;0.1833063603758067;2757.8703629383667;5227.225110611452;1886.8452135192733;0;0;8;94.0;335300
196;localidade 4;tipo 2;0.7987041184839929;0.1589660573519631;2199.475486580772;4841.154172193896;2096.1933005328915;0;0;21;233.0;261300
197;localidade 1;tipo 1;0.6374722881753649;0.3316045242136407;3192.613765675412;3953.6285332608477;;0;0;3;146.0;940200
198;localidade 1;tipo 1;0.7215871764520315;0.19700731102330699;4427.413177094973;4159.171751065731;1261.7494493712386;0;0;5;151.0;894600
201;localidade 4;tipo 2;0.4380733725877366;0.0276239937911038;1683.8343144074488;1392.7518005237287;3773.6262045221656;0;0;16;85.0;290900
202;localidade 1;tipo 2;0.6485902213219498;0.3654970807632355;3257.4021750714332;3704.0801663602306;1255.119036836819;0;0;13;128.0;463300
203;localidade 1;tipo 2;0.9349030735065624;0.9625652295342518;2370.817619904325;2860.3497373785804;5311.676132906734;0;0;18;97.0;416600
204;localidade 3;tipo 2;0.3122122093123749;0.0346438129632249;3344.972832138338;4764.036304078619;1448.436108527046;0;0;39;94.0;529300
205;localidade 1;tipo 1;0.6717130079682735;0.7865972859591938;2868.0726171328442;609.611797985733;2537.893531290079;0;0;2;67.0;970500
206;localidade 3;tipo 1;0.2431274866005931;0.3886644926833043;1949.7542142961506;1251.7898495662578;;0;0;48;;528200
207;localidade 2;tipo 1;0.8868718435934714;0.2611922785350095;1556.6868833025394;496.72877240442256;2474.4440243933677;0;0;7;67.0;217200
208;localidade 1;tipo 2;0.8458659489985364;0.607030834772175;1595.549841174925;1492.6283059602872;1970.638442740969;0;0;16;137.0;437900
209;localidade 3;tipo 1;0.37477200599341204;0.1862899352114945;2190.487251891346;3382.6607920866645;1056.6945581968953;0;0;27;62.0;884400
210;localidade 2;tipo 1;0.2183280111367354;0.2994943850660727;1507.4360816234366;5507.948789871747;4783.597714800115;0;0;2;63.0;224600
212;localidade 1;tipo 1;0.9712295866597612;0.670571941579199;587.4646314512029;913.9895578340069;2695.2501983516368;0;0;4;104.0;965200
213;localidade 2;tipo 2;0.6747572812425839;0.1028617662321903;;2834.131575854575;3457.988213851941;0;0;4;127.0;362600
215;localidade 1;tipo 2;0.3415911070148105;0.5928322803733173;2020.1936096830705;777.8847362468289;;1;0;3;163.0;510900
216;localidade 3;tipo 2;0.7023823481986571;0.8064685407193504;1707.1507787589085;2095.880653362145;1326.2611380389756;0;0;28;86.0;687100
217;localidade 4;tipo 1;0.5769179431959135;0.0155268761525547;966.1578307736121;2716.440675940017;4239.720649739074;0;0;23;194.0;514600
218;localidade 1;tipo 2;0.4808353793956167;0.9621848501721104;5270.61640322619;2237.7384973889416;3667.4999748548657;0;0;17;;424200
219;localidade 2;tipo 1;0.8470504111435977;0.4649837755806206;2096.3971780830325;626.4155703976428;1268.4300130055715;0;0;6;152.0;220500
220;localidade 1;tipo 2;0.174269406295746;0.9139808390030376;5433.978541527256;2287.1562651162412;576.0722549239449;0;0;16;103.0;454000
221;localidade 3;tipo 1;0.8412757530592417;0.5409145613245435;2504.4692130238336;1323.5463886104774;1185.777430753079;0;0;24;80.0;947100
223;localidade 3;tipo 2;0.1809171437731912;0.1225297677167293;4216.250253215846;3984.471343365653;940.9186873462579;0;0;3;112.0;1126500
224;localidade 4;tipo 1;0.2349531796790719;0.9412673777953288;5755.989719362176;4523.957986449848;;1;0;22;83.0;459800
225;localidade 2;tipo 1;0.4959922646062266;0.3702477108039721;404.2871651682739;3745.2962996977776;2379.268414165705;0;0;5;75.0;223300
226;localidade 4;tipo 2;0.6168357125636762;0.2329439333852703;1254.6350743777996;3272.5778091699426;2376.8265077195106;0;0;7;146.0;345400
